Time,medNND_px,meanNND_px,Treatment,Population,Sex,Day,Box,Diameter,medianNNDscaled_mm,meanNNDscaled_mm
675,34.783343,46.076229,0,3,1,1,3,468,6.689104423,8.860813269
705,42.187083,47.923389,0,3,1,1,3,468,8.112900577,9.216036346
735,37.146969,45.28317,0,3,1,1,3,468,7.143647885,8.708301923
765,31.868137,47.525719,0,3,1,1,3,468,6.128487885,9.139561346
795,34.058773,45.829222,0,3,1,1,3,468,6.549764038,8.813311923
825,55.362442,54.568957,0,3,1,1,3,468,10.64662346,10.49403019
855,40.842653,47.842144,0,3,1,1,3,468,7.854356346,9.200412308
885,32.084521,46.717636,0,3,1,1,3,468,6.170100192,8.984160769
915,34.97047,48.551476,0,3,1,1,3,468,6.725090385,9.336822308
945,33.74307,42.400775,0,3,1,1,3,468,6.489051923,8.153995192
975,31.622777,33.979971,0,3,1,1,3,468,6.081303269,6.534609808
1005,29.301621,37.445469,0,3,1,1,3,468,5.634927115,7.201051731
1035,26.855127,39.588817,0,3,1,1,3,468,5.1644475,7.613234038
1065,33.108594,40.503357,0,3,1,1,3,468,6.367037308,7.789107115
1095,33.766853,35.269699,0,3,1,1,3,468,6.493625577,6.782634423
1125,33.615473,44.748134,0,3,1,1,3,468,6.464514038,8.605410385
1155,32.476822,39.367941,0,3,1,1,3,468,6.245542692,7.570757885
1185,41.402295,51.97014,0,3,1,1,3,468,7.961979808,9.994257692
1215,27.514805,52.960096,0,3,1,1,3,468,5.291308654,10.18463385
1245,46.69047,65.657238,0,3,1,1,3,468,8.978936538,12.62639192
1275,45.337995,54.492711,0,3,1,1,3,468,8.718845192,10.4793675
1305,48.525607,51.767269,0,3,1,1,3,468,9.3318475,9.955244038
1335,37.349696,47.732034,0,3,1,1,3,468,7.182633846,9.179237308
1365,44.907307,44.117291,0,3,1,1,3,468,8.636020577,8.484094423
1395,44.94441,43.395164,0,3,1,1,3,468,8.643155769,8.345223846
1425,30.805844,41.616897,0,3,1,1,3,468,5.924200769,8.003249423
1455,40.467837,40.27993,0,3,1,1,3,468,7.782276346,7.746140385
1485,46.8188,55.031168,0,3,1,1,3,468,9.003615385,10.58291692
1515,50.71492,62.766851,0,3,1,1,3,468,9.752869231,12.07054827
1545,49.253866,53.642398,0,3,1,1,3,468,9.471897308,10.31584577
1575,36.684247,49.378075,0,3,1,1,3,468,7.054662885,9.495783654
1605,28.017851,36.792357,0,3,1,1,3,468,5.388048269,7.075453269
1635,25.553865,35.709839,0,3,1,1,3,468,4.914204808,6.867276731
1665,31.761702,39.519243,0,3,1,1,3,468,6.108019615,7.599854423
1695,29.90883,33.728038,0,3,1,1,3,468,5.751698077,6.486161154
1725,42.320008,38.763984,0,3,1,1,3,468,8.138463077,7.454612308
1755,47.507894,56.820954,0,3,1,1,3,468,9.136133462,10.92710654
1785,34.176015,40.570654,0,3,1,1,3,468,6.572310577,7.802048846
15,50.471443,53.121921,0,4,2,1,4,477,9.522913774,10.02300396
45,47.539457,54.754633,0,4,2,1,4,477,8.969708868,10.33106283
75,39.717642,40.430386,0,4,2,1,4,477,7.493894717,7.628374717
105,39.232063,55.657005,0,4,2,1,4,477,7.402276038,10.5013217
135,58.346897,61.565703,0,4,2,1,4,477,11.00884849,11.61617038
165,41.036569,47.215188,0,4,2,1,4,477,7.742748868,8.908526038
195,51.039201,60.604778,0,4,2,1,4,477,9.630037925,11.43486377
225,49.36384,64.118982,0,4,2,1,4,477,9.313932075,12.09792113
255,48.543439,56.21054,0,4,2,1,4,477,9.159139434,10.60576226
285,39.595934,50.747327,0,4,2,1,4,477,7.470930943,9.574967358
315,53.450912,61.175742,0,4,2,1,4,477,10.08507774,11.54259283
345,52.554733,49.415852,0,4,2,1,4,477,9.915987358,9.32374566
375,66.229083,63.534995,0,4,2,1,4,477,12.4960534,11.98773491
405,40.853396,47.833644,0,4,2,1,4,477,7.708187925,9.025215849
435,44.018185,51.990337,0,4,2,1,4,477,8.305317925,9.809497547
465,57.008383,65.350846,0,4,2,1,4,477,10.75629868,12.3303483
495,31.240999,38.50427,0,4,2,1,4,477,5.894528113,7.264956604
525,36.825018,42.077774,0,4,2,1,4,477,6.948116604,7.939202642
555,42.692554,60.224759,0,4,2,1,4,477,8.055198868,11.36316208
585,41.873595,56.641151,0,4,2,1,4,477,7.900678302,10.68700962
615,53.319048,55.093516,0,4,2,1,4,477,10.06019774,10.39500302
645,58.619746,47.467316,0,4,2,1,4,477,11.06032943,8.956097358
675,65.214523,59.974709,0,4,2,1,4,477,12.30462698,11.31598283
705,58.525758,57.583469,0,4,2,1,4,477,11.04259585,10.86480547
735,53.417781,49.762877,0,4,2,1,4,477,10.0788266,9.389222075
765,40.154486,45.111689,0,4,2,1,4,477,7.576318113,8.511639434
795,54.698839,53.399377,0,4,2,1,4,477,10.32053566,10.07535415
825,40.496913,40.935126,0,4,2,1,4,477,7.640926981,7.723608679
855,40.863985,48.252754,0,4,2,1,4,477,7.710185849,9.104293208
885,47.046228,47.672462,0,4,2,1,4,477,8.876646792,8.994804151
915,49.020498,54.838168,0,4,2,1,4,477,9.249150566,10.34682415
945,40.656627,47.908249,0,4,2,1,4,477,7.671061698,9.039292264
975,51.723999,48.829169,0,4,2,1,4,477,9.759245094,9.213050755
1005,46.249077,46.270592,0,4,2,1,4,477,8.726240943,8.730300377
1035,56.797887,54.667233,0,4,2,1,4,477,10.71658245,10.31457226
